request_id,run_id,run_name,workload_label,repetition,concurrency,prompt_index,prompt,engine,model,stream,started_at,ended_at,latency_ms,ttft_ms,completion_time_ms,output_tokens,output_tokens_estimated,tokens_per_sec,success,status_code,error_type,error_message
5110e3ec-8cb0-4657-b270-7935671afea9,20260316_000556,local-vllm-public-long-prompts,long-context,1,1,0,"Background: In serving LLMs, throughput is often measured in requests per second or tokens per second, while latency is measured as time to first token (TTFT) and total time to completion. Increasing concurrency usually increases total throughput but can increase latency because the GPU is shared across more in-flight requests.

Explain the trade-off between throughput and latency in one sentence, then in one more sentence say what a good benchmark should report so we can reason about both.",vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-16T00:05:56.349844Z,2026-03-16T00:05:59.957864Z,3607.9981250222772,,3607.9981250222772,73,False,20.232826478963116,True,200,,
f531af90-9e5b-4fd0-870c-e1c949bad565,20260316_000556,local-vllm-public-long-prompts,long-context,1,1,1,"Consider the following operational scenario.

We have an inference service that uses the vLLM engine and the Qwen2-0.5B-Instruct model. Requests are sent with a fixed max_tokens value and temperature set to zero for reproducibility. The workload consists of a small set of prompts repeated and shuffled with a fixed seed so that runs are comparable. We collect per-request latency, time to first token, and token throughput.

How would you reduce slow requests in this model API? Give three concrete steps and mention what you would measure before and after.",vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-16T00:05:59.958469Z,2026-03-16T00:06:04.161445Z,4202.949375030585,,4202.949375030585,96,False,22.841103100201252,True,200,,
97d4b233-781d-4c5c-a938-e7c0e3736e08,20260316_000556,local-vllm-public-long-prompts,long-context,1,1,2,"In load testing an LLM API we often sweep concurrency: we run the same workload at concurrency 1, 2, 4, 8, 16, and sometimes higher. Each run uses the same number of requests, the same prompts (shuffled with the same seed), and the same generation parameters like max_tokens and temperature.

Why run the same test at different concurrency levels? Give two reasons and mention what we learn about the system from the shape of the latency and throughput curves.",vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-16T00:06:04.162041Z,2026-03-16T00:06:08.290662Z,4128.599624964409,,4128.599624964409,96,False,23.252436351424507,True,200,,
57cb60d1-0f19-4bad-9789-55463f528616,20260316_000556,local-vllm-public-long-prompts,long-context,1,1,3,"You are helping a team debug production latency. Here is the context.

Our chat API serves a Qwen-based model on a single GPU with vLLM. We run a benchmark with 24 requests over concurrency levels 1, 2, 4, 8, and 16. At concurrency 1 we see about 3.3 seconds p50 latency and ~29 tokens per second. At concurrency 16, p50 latency rises to about 24 seconds and tokens per second drop to around 5. We use max_tokens=96 and temperature 0.

List four reasons response time matters for chat apps in this setup, and one thing we could try next to improve latency at high concurrency.",vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-16T00:06:08.291663Z,2026-03-16T00:06:12.693888Z,4402.196582988836,,4402.196582988836,96,False,21.807295106031265,True,200,,
bca3ed6b-5b6d-481b-a3d0-db508fe1339c,20260316_000556,local-vllm-public-long-prompts,long-context,1,1,4,"We are designing a benchmark for our inference stack. The stack uses vLLM, a single public model (e.g. Qwen2-0.5B-Instruct), and we care about latency percentiles, time to first token, and token throughput under different concurrency levels. We run the same prompt set multiple times with a fixed seed and record per-request timings and any failures.

What should this benchmark report include to be reproducible? List at least five items (e.g. model, config, metrics, hardware, software versions).",vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-16T00:06:12.694324Z,2026-03-16T00:06:16.771248Z,4076.9001661101356,,4076.9001661101356,96,False,23.54730213852546,True,200,,
2c8acc43-392b-4eb1-a10c-6a6e1aac8f27,20260316_000556,local-vllm-public-long-prompts,long-context,1,1,5,"Incident summary for the team:

Today between 14:00 and 14:02 UTC the model API returned 5xx errors for a subset of requests. The root cause was a transient OOM on the GPU when too many long-context requests were in flight. We increased the request timeout and added a simple queue limit. The API has been stable since 14:05.

Draft a one-line status update for users: API had 5xx errors for 2 minutes, now fixed. Then add one short sentence on what we changed so it does not happen again.",vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-16T00:06:16.772350Z,2026-03-16T00:06:18.680647Z,1908.2857089815661,,1908.2857089815661,27,False,14.14882471367961,True,200,,
6edb422c-d9f5-45eb-9dcf-adc06731573b,20260316_000556,local-vllm-public-long-prompts,long-context,1,1,6,"Background: In serving LLMs, throughput is often measured in requests per second or tokens per second, while latency is measured as time to first token (TTFT) and total time to completion. Increasing concurrency usually increases total throughput but can increase latency because the GPU is shared across more in-flight requests.

Explain the trade-off between throughput and latency in one sentence, then in one more sentence say what a good benchmark should report so we can reason about both.",vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-16T00:06:18.681025Z,2026-03-16T00:06:22.277541Z,3596.506124944426,,3596.506124944426,73,False,20.29747690228889,True,200,,
41becf3c-e19d-4c61-b1d8-d9e2ee6f26d4,20260316_000556,local-vllm-public-long-prompts,long-context,1,1,7,"Consider the following operational scenario.

We have an inference service that uses the vLLM engine and the Qwen2-0.5B-Instruct model. Requests are sent with a fixed max_tokens value and temperature set to zero for reproducibility. The workload consists of a small set of prompts repeated and shuffled with a fixed seed so that runs are comparable. We collect per-request latency, time to first token, and token throughput.

How would you reduce slow requests in this model API? Give three concrete steps and mention what you would measure before and after.",vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-16T00:06:22.280394Z,2026-03-16T00:06:25.874441Z,3594.0248749684542,,3594.0248749684542,96,False,26.711000435366387,True,200,,
7756ae19-0973-412a-b3f1-35244582b319,20260316_000556,local-vllm-public-long-prompts,long-context,1,1,8,"In load testing an LLM API we often sweep concurrency: we run the same workload at concurrency 1, 2, 4, 8, 16, and sometimes higher. Each run uses the same number of requests, the same prompts (shuffled with the same seed), and the same generation parameters like max_tokens and temperature.

Why run the same test at different concurrency levels? Give two reasons and mention what we learn about the system from the shape of the latency and throughput curves.",vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-16T00:06:25.874858Z,2026-03-16T00:06:29.869670Z,3994.7897921083495,,3994.7897921083495,96,False,24.031302019857623,True,200,,
7765b8d8-5a9e-46b1-970e-64c9c1e950a3,20260316_000556,local-vllm-public-long-prompts,long-context,1,1,9,"You are helping a team debug production latency. Here is the context.

Our chat API serves a Qwen-based model on a single GPU with vLLM. We run a benchmark with 24 requests over concurrency levels 1, 2, 4, 8, and 16. At concurrency 1 we see about 3.3 seconds p50 latency and ~29 tokens per second. At concurrency 16, p50 latency rises to about 24 seconds and tokens per second drop to around 5. We use max_tokens=96 and temperature 0.

List four reasons response time matters for chat apps in this setup, and one thing we could try next to improve latency at high concurrency.",vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-16T00:06:29.871528Z,2026-03-16T00:06:33.353298Z,3481.74887499772,,3481.74887499772,96,False,27.572350403951194,True,200,,
