source_campaign,campaign_name,campaign_run_id,experiment_name,status,run_dir,error,tag_version,tag_config_path,tag_max_num_batched_tokens,tag_max_model_len,tag_benchmark_family,git_sha,vllm_commit,torch_version,cpu_model,num_threads,peak_throughput_tokens_per_s,max_concurrency,latency_p95_at_max_concurrency,error_rate_at_max_concurrency,server_log
full_clean_run,overnight-vllm-015-main-cpu-regression,20260317_073938,vllm-0.15.0-local_vllm_public.yaml-mbt2048-ml4096,ok,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/runs/vllm-0-15-0-local_vllm_public-yaml-mbt2048-ml4096/local-vllm-public-vllm-0-15-0-local_vllm_public-yaml-mbt2048-ml4096_20260317_073940,,0.15.0,local_vllm_public.yaml,2048,4096,vllm-015-main-regression,fa7fb06bb11eeac6c25ad5e5673c2bf158cb0cfc,0.15.0,2.10.0+cpu,Intel(R) Xeon(R) Processor,4,19.227134877286208,16.0,,1.0,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/logs/vllm-0-15-0-local_vllm_public-yaml-mbt2048-ml4096.log
full_clean_run,overnight-vllm-015-main-cpu-regression,20260317_073938,vllm-0.15.0-local_vllm_public.yaml-mbt2048-ml8192,ok,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/runs/vllm-0-15-0-local_vllm_public-yaml-mbt2048-ml8192/local-vllm-public-vllm-0-15-0-local_vllm_public-yaml-mbt2048-ml8192_20260317_074108,,0.15.0,local_vllm_public.yaml,2048,8192,vllm-015-main-regression,fa7fb06bb11eeac6c25ad5e5673c2bf158cb0cfc,0.15.0,2.10.0+cpu,Intel(R) Xeon(R) Processor,4,44.50469470419688,16.0,3361.3951247014484,0.0,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/logs/vllm-0-15-0-local_vllm_public-yaml-mbt2048-ml8192.log
full_clean_run,overnight-vllm-015-main-cpu-regression,20260317_073938,vllm-0.15.0-local_vllm_public.yaml-mbt4096-ml4096,ok,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/runs/vllm-0-15-0-local_vllm_public-yaml-mbt4096-ml4096/local-vllm-public-vllm-0-15-0-local_vllm_public-yaml-mbt4096-ml4096_20260317_074233,,0.15.0,local_vllm_public.yaml,4096,4096,vllm-015-main-regression,fa7fb06bb11eeac6c25ad5e5673c2bf158cb0cfc,0.15.0,2.10.0+cpu,Intel(R) Xeon(R) Processor,4,22.54238447649072,16.0,,1.0,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/logs/vllm-0-15-0-local_vllm_public-yaml-mbt4096-ml4096.log
full_clean_run,overnight-vllm-015-main-cpu-regression,20260317_073938,vllm-0.15.0-local_vllm_public.yaml-mbt4096-ml8192,ok,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/runs/vllm-0-15-0-local_vllm_public-yaml-mbt4096-ml8192/local-vllm-public-vllm-0-15-0-local_vllm_public-yaml-mbt4096-ml8192_20260317_074301,,0.15.0,local_vllm_public.yaml,4096,8192,vllm-015-main-regression,fa7fb06bb11eeac6c25ad5e5673c2bf158cb0cfc,0.15.0,2.10.0+cpu,Intel(R) Xeon(R) Processor,4,,16.0,,1.0,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/logs/vllm-0-15-0-local_vllm_public-yaml-mbt4096-ml8192.log
full_clean_run,overnight-vllm-015-main-cpu-regression,20260317_073938,vllm-0.15.0-local_vllm_public_long_prompts.yaml-mbt2048-ml4096,failed,,Server process exited early with code 1,0.15.0,local_vllm_public_long_prompts.yaml,2048,4096,vllm-015-main-regression,,,,Intel(R) Xeon(R) Processor,4,,,,,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/logs/vllm-0-15-0-local_vllm_public_long_prompts-yaml-mbt2048-ml4096.log
full_clean_run,overnight-vllm-015-main-cpu-regression,20260317_073938,vllm-0.15.0-local_vllm_public_long_prompts.yaml-mbt2048-ml8192,ok,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/runs/vllm-0-15-0-local_vllm_public_long_prompts-yaml-mbt2048-ml8192/local-vllm-public-long-prompts-vllm-0-15-0-local_vllm_public_long_prompts-yaml-mbt2048-ml8192_20260317_074410,,0.15.0,local_vllm_public_long_prompts.yaml,2048,8192,vllm-015-main-regression,fa7fb06bb11eeac6c25ad5e5673c2bf158cb0cfc,0.15.0,2.10.0+cpu,Intel(R) Xeon(R) Processor,4,42.62684899644476,16.0,4357.967155199185,0.0,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/logs/vllm-0-15-0-local_vllm_public_long_prompts-yaml-mbt2048-ml8192.log
full_clean_run,overnight-vllm-015-main-cpu-regression,20260317_073938,vllm-0.15.0-local_vllm_public_long_prompts.yaml-mbt4096-ml4096,ok,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/runs/vllm-0-15-0-local_vllm_public_long_prompts-yaml-mbt4096-ml4096/local-vllm-public-long-prompts-vllm-0-15-0-local_vllm_public_long_prompts-yaml-mbt4096-ml4096_20260317_074555,,0.15.0,local_vllm_public_long_prompts.yaml,4096,4096,vllm-015-main-regression,fa7fb06bb11eeac6c25ad5e5673c2bf158cb0cfc,0.15.0,2.10.0+cpu,Intel(R) Xeon(R) Processor,4,20.31931672711876,16.0,,1.0,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/logs/vllm-0-15-0-local_vllm_public_long_prompts-yaml-mbt4096-ml4096.log
full_clean_run,overnight-vllm-015-main-cpu-regression,20260317_073938,vllm-0.15.0-local_vllm_public_long_prompts.yaml-mbt4096-ml8192,ok,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/runs/vllm-0-15-0-local_vllm_public_long_prompts-yaml-mbt4096-ml8192/local-vllm-public-long-prompts-vllm-0-15-0-local_vllm_public_long_prompts-yaml-mbt4096-ml8192_20260317_074623,,0.15.0,local_vllm_public_long_prompts.yaml,4096,8192,vllm-015-main-regression,fa7fb06bb11eeac6c25ad5e5673c2bf158cb0cfc,0.15.0,2.10.0+cpu,Intel(R) Xeon(R) Processor,4,,16.0,,1.0,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/logs/vllm-0-15-0-local_vllm_public_long_prompts-yaml-mbt4096-ml8192.log
full_clean_run,overnight-vllm-015-main-cpu-regression,20260317_073938,vllm-main-local_vllm_public.yaml-mbt2048-ml4096,failed,,Server process exited early with code 1,main,local_vllm_public.yaml,2048,4096,vllm-015-main-regression,,,,Intel(R) Xeon(R) Processor,4,,,,,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/logs/vllm-main-local_vllm_public-yaml-mbt2048-ml4096.log
full_clean_run,overnight-vllm-015-main-cpu-regression,20260317_073938,vllm-main-local_vllm_public.yaml-mbt2048-ml8192,failed,,Server process exited early with code 1,main,local_vllm_public.yaml,2048,8192,vllm-015-main-regression,,,,Intel(R) Xeon(R) Processor,4,,,,,/workspace/results/campaigns/overnight-vllm-015-main-cpu-regression_20260317_073938/logs/vllm-main-local_vllm_public-yaml-mbt2048-ml8192.log
